,airline_sentiment,negativereason,airline,text
0,1,,Virgin America, What  said
1,2,,Virgin America, plus youve added commercials to the experience tacky
2,1,,Virgin America, I didnt today Must mean I need to take another trip
3,0,Bad Flight,Virgin America, its really aggressive to blast obnoxious entertainment in your guests faces amp they have little recourse
4,0,Can't Tell,Virgin America, and its a really big bad thing about it
5,0,Can't Tell,Virgin America, seriously would pay  a flight for seats that didnt have this playingits really the only bad thing about flying VA
6,2,,Virgin America, yes nearly every time I fly VX this ear worm wont go away 
7,1,,Virgin America, Really missed a prime opportunity for Men Without Hats parody there 
8,2,,Virgin America, Well I didntbut NOW I DO D
9,2,,Virgin America, it was amazing and arrived an hour early Youre too good to me
10,1,,Virgin America, did you know that suicide is the second leading cause of death among teens 
11,2,,Virgin America, I lt pretty graphics so much better than minimal iconography D
12,2,,Virgin America, This is such a great deal Already thinking about my nd trip to  amp I havent even gone on my st trip yet p
13,2,,Virgin America,  Im flying your fabulous Seductive skies again U take all the stress away from travel 
14,2,,Virgin America, Thanks
15,0,Late Flight,Virgin America, SFOPDX schedule is still MIA
16,2,,Virgin America, So excited for my first cross country flight LAX to MCO Ive heard nothing but great things about Virgin America DaysToGo
17,0,Bad Flight,Virgin America,  I flew from NYC to SFO last week and couldnt fully sit in my seat due to two large gentleman on either side of me HELP
18,2,,Virgin America,I  flying  
19,2,,Virgin America, you know what would be amazingly awesome BOSFLL PLEASE I want to fly with only you
20,0,Can't Tell,Virgin America, why are your first fares in May over three times more than other carriers when all seats are available to select
21,2,,Virgin America, I love this graphic 
22,2,,Virgin America, I love the hipster innovation You are a feel good brand
23,1,,Virgin America, will you be making BOSgtLAS non stop permanently anytime soon
24,0,Customer Service Issue,Virgin America, you guys messed up my seating I reserved seating with my friends and you guys gave my seat away   I want free internet
25,0,Customer Service Issue,Virgin America, status match program  I applied and its been three weeks  Called and emailed with no response
26,0,Can't Tell,Virgin America, What happened  ur vegan food options At least say on ur site so i know I wont be able  eat anything for next  hrs fail
27,1,,Virgin America, do you miss me Dont worry well be together very soon
28,0,Bad Flight,Virgin America, amazing to me that we cant get any cold air from the vents VX noair worstflightever roasted SFOtoBOS
29,1,,Virgin America, LAX to EWR  Middle seat on a red eye Such a noob maneuver sendambien andchexmix
30,0,Flight Booking Problems,Virgin America, hi I just bked a cool birthday trip with you but i cant add my elevate no cause i entered my middle name during Flight Booking Problems 
31,1,,Virgin America, Are the hours of operation for the Club at SFO that are posted online current
